StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;RecordedDate;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q1.2;Q1.3_Browser;Q1.3_Version;Q1.3_Operating System;Q1.3_Resolution;Q2.2_1;Q2.2_2;Q2.2_3;Q2.2_4;Q2.2_5;Q2.3_1;Q2.3_2;Q2.3_3;Q3.2_1;Q3.2_2;Q3.2_3;Q3.2_4;Q3.2_5;Q3.3_1;Q3.3_2;Q3.3_3;Q5.3;Q5.4;Q5.5;Q5.6;Q6.2_1;Q6.2_2;Q6.2_3;Q6.2_4;Q7.2;Q7.3;Q8.3_First Click;Q8.3_Last Click;Q8.3_Page Submit;Q8.3_Click Count;Q8.5_First Click;Q8.5_Last Click;Q8.5_Page Submit;Q8.5_Click Count;Q8.6;Q8.7;Q10.3_First Click;Q10.3_Last Click;Q10.3_Page Submit;Q10.3_Click Count;Q10.5_First Click;Q10.5_Last Click;Q10.5_Page Submit;Q10.5_Click Count;Q10.6;Q10.7;Q14.2_First Click;Q14.2_Last Click;Q14.2_Page Submit;Q14.2_Click Count;Q15.2;Q15.3;Q15.4;Q15.5;Q15.6;Q15.7;Q16.2;Q16.3;Q16.7_1;Q16.7_2;Q16.7_3;Q16.8_1;Q16.8_1_TEXT;Q298;Q17.1;Q17.1_7_TEXT;Q6.3_1;Q6.3_2;Q6.4;Q5.8;Q5.9;Q5.10;Q16.5;Q16.6;Q18.2;Q18.3;Q4.2;Q4.3;Q4.4;Q20.2;Q20.3;Q20.4;Q20.5;Q18.4;Q18.5;Q19.2_8;Q19.3;Q19.4;Q19.4_9_TEXT;Q19.5;Q19.6;Q19.7;Q19.7_2_TEXT;Q19.8;Q19.9;Q19.9_2_TEXT;Q19.10;Q20.6
2021-01-28 06:53:23;2021-01-28 06:56:54;0;100;210;1;2021-01-28 06:56:54;53.3379058837890625;-6.25909423828125;anonymous;EN-GB;1;Chrome;88.0.4324.104;Windows NT 10.0;1536x864;;;;;;;;;5;5;4;4;4;4;4;4;;;;;4;4;4;4;5;5;;;;;;;;;;;0;0;2.847;0;0;0;15.918;0;6;5;0;0;13.728;0;6;5;6;4;6;5;3;noy sure;1;2;3;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-28 06:43:02;2021-01-28 06:57:32;0;100;870;1;2021-01-28 06:57:33;54.9447021484375;-7.7266998291015625;anonymous;EN-GB;1;Safari iPhone;14.0.2;iPhone;414x736;4;4;4;4;3;4;4;4;;;;;;;;;4;5;3;4;;;;;4;4;;;;;;;;;;;1.829;1.829;43.63;1;1.748;46.679;49.684;5;7;4;4.792;51.791;72.042;7;4;4;3;4;4;5;3;Actually there’s no other options since you cannot travel without the vaccine since most airlines and other countries will probably look for your vaccine certificate ;4;4;4;;;2;7;99;;;;7;7;4;1;1;6;4;4;4;1;5;4;;1;2;;40;2;6;;1;2;1;;6;2;Filipino ;3;
2021-01-28 06:41:29;2021-01-28 06:57:33;0;100;964;1;2021-01-28 06:57:33;53.3379058837890625;-6.25909423828125;anonymous;EN-GB;1;Chrome;88.0.4324.104;Windows NT 10.0;1536x864;;;;;;;;;7;7;6;7;3;6;5;6;;;;;5;7;7;4;6;4;0;0;13.355;0;15.749;15.749;16.804;1;7;3;;;;;;;;;;;0;0;51.212;0;7;5;5;7;7;7;4;I'm not an at risk person but I will be in contact with people who are so I'm happy to get the vaccine to protect loved ones. ;4;3;3;;;1;7;99;7;4;7;;;;1;2;7;3;4;4;3;4;4;;1;2;;32;2;8;;2;9;1;;7;1;;1;
2021-01-28 06:43:27;2021-01-28 06:58:09;0;100;881;1;2021-01-28 06:58:09;53.3379058837890625;-6.25909423828125;anonymous;EN-GB;1;Safari iPhone;13.1.2;iPhone;414x896;5;5;4;6;3;4;4;6;;;;;;;;;5;6;3;5;;;;;5;5;;;;;;;;;;;5.519;5.519;38.88;1;1.017;104.168;107.256;4;7;5;11.55;35.425;68.617;3;5;5;5;3;3;5;3;I do want to get a vaccine in theory, but I think this one was approved too soon and skipped some necessary trials ;3;3;4;;;2;7;99;;;;6;7;4;2;2;6;7;5;4;3;4;5;;;1;Not right away;29;2;8;;2;9;1;;7;2;Russian ;3;
2021-01-28 06:47:47;2021-01-28 06:58:28;0;100;640;1;2021-01-28 06:58:28;53.0386962890625;-7.296600341796875;anonymous;EN-GB;1;Chrome;87.0.4280.88;Windows NT 6.3;1366x768;;;;;;;;;2;2;2;2;1;3;3;5;;;;;1;2;1;1;1;1;8.735;8.735;11.808;1;8.189;8.189;14.391;1;6;6;;;;;;;;;;;2.775;24.848;27.557;2;2;6;6;2;1;6;1;It's a genetically engineered vaccine and is new. In my view, not enough testing has been done and the long term effects are unknown;2;2;1;;;1;7;99;6;4;2;;;;2;2;2;4;5;1;4;4;2;it's bringing non-human decisions into issues that affect humans;1;2;;64;2;3;;2;6;1;;24;1;;2;no
2021-01-28 06:47:31;2021-01-28 06:58:58;0;100;687;1;2021-01-28 06:58:59;53.2176055908203125;-6.666900634765625;anonymous;EN-GB;1;Chrome;87.0.4280.141;Windows NT 10.0;1366x768;;;;;;;;;4;4;4;7;2;4;7;7;;;;;4;6;5;5;4;4;;;;;;;;;;;2.806;3.411;16.846;4;2.369;2.91;11.066;4;7;5;9.621;9.621;10.78;1;5;4;6;6;5;5;3;I want to be protected against contracting covid 19 again. I was very ill first time round and dont want to go through that again. I would like lots more information on what is in the vaccine though just for some reasurrance. Its been made so quickly  that I just have a litlle doubt in my mind;4;4;4;;;2;7;99;7;7;6;;;;1;2;1;1;4;7;1;4;6;;;2;;44;2;3;;2;5;1;;31;1;;1;
2021-01-28 06:57:46;2021-01-28 06:59:05;0;100;79;1;2021-01-28 06:59:06;53.3379058837890625;-6.25909423828125;anonymous;EN-GB;1;Safari iPhone;Unknown;iPhone;414x736;3;3;4;5;4;2;4;4;;;;;;;;;3;4;3;4;;;;;4;3;;;;;;;;;;;0.356;0.74;1.385;2;0.376;0.827;1.401;2;4;5;0.379;0.848;1.508;2;4;3;2;5;4;5;2;Alalajdic;3;2;2;;;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-28 06:50:53;2021-01-28 06:59:13;0;100;499;1;2021-01-28 06:59:14;53.1963958740234375;-8.8625030517578125;anonymous;EN-GB;1;Chrome;88.0.4324.93;Android 10;320x676;7;7;7;7;7;7;7;7;;;;;;;;;7;7;7;7;;;;;7;7;1.005;12.066;13.98;15;0.791;12.409;13.356;11;7;7;;;;;;;;;;;4.011;17.718;18.652;12;7;7;7;7;7;7;4;I have underlying problems and are at risk so would be great if I got it;4;4;4;;;3;7;99;;;;7;7;7;2;2;7;7;7;7;7;7;7;;2;2;;51;2;2;;2;2;1;;;2;Irish ;1;No
2021-01-28 06:47:59;2021-01-28 06:59:31;0;100;691;1;2021-01-28 06:59:31;53.2176055908203125;-6.666900634765625;anonymous;EN-GB;1;Chrome;87.0.4280.141;Android 10;412x915;7;4;3;2;1;7;6;3;;;;;;;;;4;7;7;1;;;;;4;3;;;;;;;;;;;20.614;20.614;27.701;1;1.37;29.267;30.108;5;7;7;2.471;74.183;85.728;4;7;7;7;7;7;7;1;Of it protects you, it would be silly not to avail of it. ;4;4;2;;;2;7;99;;;;7;7;4;1;1;7;7;1;4;1;4;5;;;2;;60;2;5;;2;7;1;;13;1;;2;
2021-01-28 06:44:18;2021-01-28 07:01:45;0;100;1047;1;2021-01-28 07:01:46;53.3379058837890625;-6.25909423828125;anonymous;EN-GB;1;Chrome;88.0.4324.93;Android 10;360x771;5;5;5;5;3;5;5;5;;;;;;;;;4;5;2;2;;;;;3;3;;;;;;;;;;;6.994;23.161;24.3;5;7.564;16.403;17.191;3;7;4;21.575;102.966;104.699;16;5;4;4;6;5;6;1;Because it was the first one to be approved but will get the next one ;4;3;2;;;1;7;99;;;;6;1;3;2;1;5;6;1;1;2;2;2;Because it doesn't take into account human habits ;1;2;;55;1;5;;2;8;1;;4;1;;1;No 
2021-01-28 07:01:20;2021-01-28 07:02:44;0;100;83;1;2021-01-28 07:02:44;51.8979949951171875;-8.4889984130859375;anonymous;EN-GB;1;Chrome;87.0.4280.141;Windows NT 10.0;1536x864;;;;;;;;;7;6;6;7;6;6;5;6;;;;;7;5;6;1;6;7;0;0;1.49;0;0;0;1.26;0;6;5;;;;;;;;;;;0;0;1.062;0;6;7;6;5;6;5;3;good to use;4;3;3;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-28 06:51:12;2021-01-28 07:02:48;0;100;695;1;2021-01-28 07:02:48;53.3379058837890625;-6.25909423828125;anonymous;EN-GB;1;Chrome;88.0.4324.104;Windows NT 10.0;1366x768;;;;;;;;;4;4;4;7;1;3;5;5;;;;;3;6;1;1;1;1;;;;;;;;;;;0;0;25.493;0;0;0;35.713;0;7;4;0;0;48.26;0;5;2;2;5;3;5;4;I will take any vaccine available to stop this virus;3;3;3;;;2;7;99;7;1;3;;;;2;2;4;4;2;1;2;1;1;they are taken as truth and there are not enough variables;1;1;leaving certificate, causing major stress to students with wrong assessments;61;2;2;;2;4;1;;13;1;;1;
2021-01-28 06:53:51;2021-01-28 07:02:49;0;100;538;1;2021-01-28 07:02:50;53.347198486328125;-6.243896484375;anonymous;EN-GB;1;Chrome;88.0.4324.104;Windows NT 10.0;1366x768;;;;;;;;;6;6;6;6;3;7;7;7;;;;;6;6;3;4;4;4;0;0;28.831;0;0;0;25.987;0;6;5;;;;;;;;;;;0;0;55.169;0;6;4;4;6;6;6;4;better to be safe then sorry;4;4;4;;;2;7;99;6;3;3;;;;2;2;4;4;4;4;5;4;4;;1;2;;46;2;4;;2;8;1;;8;1;;2;
2021-01-28 07:00:35;2021-01-28 07:03:22;0;100;166;1;2021-01-28 07:03:22;53.3379058837890625;-6.25909423828125;anonymous;EN-GB;1;Chrome;88.0.4324.93;Android 10;412x846;4;4;4;3;2;4;3;3;;;;;;;;;3;3;2;6;;;;;2;3;;;;;;;;;;;0.628;0.628;1.413;1;0.43;0.43;1.32;1;2;3;0.81;0.81;1.678;1;1;4;5;2;2;4;2;Na;2;2;2;2;Na;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-28 06:50:22;2021-01-28 07:04:42;0;100;860;1;2021-01-28 07:04:43;52.65960693359375;-7.2545928955078125;anonymous;EN-GB;1;Chrome;88.0.4324.104;Windows NT 6.1;1920x1080;;;;;;;;;3;3;3;5;2;2;3;4;;;;;2;2;5;4;5;4;0;0;8.447;0;0;0;2.441;0;6;4;;;;;;;;;;;0;0;1.36;0;4;4;3;4;4;3;2;just the speed of getting it worries me;2;2;2;;;2;7;99;6;3;3;;;;2;2;3;3;4;5;3;4;5;;1;2;;55;1;3;;2;3;1;;14;1;;3;
2021-01-28 06:57:50;2021-01-28 07:04:47;0;100;417;1;2021-01-28 07:04:48;53.3379058837890625;-6.25909423828125;anonymous;EN-GB;1;Chrome;88.0.4324.93;Android 10;360x760;4;4;4;4;1;4;4;4;;;;;;;;;2;4;2;4;;;;;3;3;;;;;;;;;;;3.599;6.348;7.788;2;1.41;1.41;2.733;1;7;4;1.35;1.35;2.659;1;4;2;2;4;4;4;3;To get my life bact to normal ;4;4;4;;;2;7;99;;;;7;7;5;2;2;2;2;3;4;3;5;4;;;2;;63;1;4;;2;2;1;;5;1;;1;
2021-01-28 06:50:37;2021-01-28 07:07:22;0;100;1005;1;2021-01-28 07:07:22;53.3625030517578125;-6.4463958740234375;anonymous;EN-GB;1;Chrome;88.0.4324.93;Android 9;360x760;4;4;4;5;2;5;4;4;;;;;;;;;3;5;2;4;;;;;4;3;14.357;41.744;42.729;2;3.5;4.684;6.023;2;6;5;;;;;;;;;;;17.673;20.423;26.902;2;5;4;5;6;4;6;3;It's a better chance of survival;3;3;3;;;2;7;99;;;;5;3;5;2;2;3;5;2;2;2;2;4;;1;1;Step by step procedure;69;1;3;;2;3;1;;17;1;;1;No
2021-01-28 06:43:54;2021-01-28 07:09:43;0;100;1548;1;2021-01-28 07:09:44;52.25909423828125;-7.1013031005859375;anonymous;EN-GB;1;Chrome;88.0.4324.104;Windows NT 10.0;1920x1080;;;;;;;;;1;1;1;2;1;1;1;2;;;;;1;1;1;4;2;1;;;;;;;;;;;0;0;41.429;0;0;0;48.373;0;7;7;0;0;60.726;0;1;7;7;1;1;7;1;Because I have zero trust in it. Plus zero trust in the governments world wide and so called medical experts who are trying to rush this vaccine true. It most certainly is not for the greater good of the people. Plus there is no need for this vaccine! ;1;1;1;;;3;7;99;1;3;1;;;;2;1;4;4;1;1;4;1;2;Everything Government related is unfair, based on everything!;1;2;;69;2;4;;2;3;1;;28;1;;1;Not today, thank you.
2021-01-28 07:04:00;2021-01-28 07:11:31;0;100;450;1;2021-01-28 07:11:32;53.3379058837890625;-6.25909423828125;anonymous;EN-GB;1;Chrome;88.0.4324.93;Android 10;360x800;5;5;5;5;5;5;5;5;;;;;;;;;6;6;6;4;;;;;5;5;0.608;0.608;1.6;1;0.531;0.531;1.36;1;5;5;;;;;;;;;;;4.564;4.564;5.593;1;6;5;5;5;6;6;2;I don't need it;3;3;3;;;2;7;99;;;;5;6;5;1;2;2;2;3;5;2;4;4;;2;2;;18;1;3;;2;5;1;;6;2;Polish;3;Nah
2021-01-28 07:05:05;2021-01-28 07:14:16;0;100;550;1;2021-01-28 07:14:16;52.473297119140625;-8.1558074951171875;anonymous;EN-GB;1;Chrome;88.0.4324.104;Windows NT 10.0;1536x864;;;;;;;;;7;7;7;7;1;7;7;7;;;;;7;7;7;7;7;7;0;0;124.56;0;0;0;21.564;0;7;5;;;;;;;;;;;0;0;48.165;0;7;6;4;7;7;7;2;there is insufficient time for it to be tested and i do not trust it will not make the problem worse. ;4;4;4;;;1;7;99;5;7;5;;;;1;2;1;1;3;5;1;5;6;;1;2;;19;2;3;;2;4;1;;27;1;;1;
2021-01-28 07:02:54;2021-01-28 07:17:55;0;100;900;1;2021-01-28 07:17:55;53.3379058837890625;-6.25909423828125;anonymous;EN-GB;1;Chrome;49.0.2623.112;Windows NT 6.0;1280x800;;;;;;;;;1;1;1;6;1;1;4;4;;;;;6;6;3;4;4;2;29.421;29.421;55.583;1;32.76;32.76;34.679;1;7;5;;;;;;;;;;;32.776;32.776;47.085;1;6;4;4;6;6;6;4;could protect me against the virus,seems the sensible thing to do and helps out the health service,1 less possible infected patient to care for;3;3;2;;;1;7;99;6;4;2;;;;2;2;2;4;4;3;6;6;4;;1;2;;56;1;3;;2;2;1;;19;1;;1;
2021-01-28 07:14:06;2021-01-28 07:23:45;0;100;579;1;2021-01-28 07:23:46;53.522796630859375;-6.11639404296875;anonymous;EN-GB;1;Safari;14.0.2;Macintosh;768x1024;;;;;;;;;4;4;4;6;4;4;4;4;;;;;4;6;4;4;4;4;0;0;9.025;0;0;0;10.517;0;4;4;;;;;;;;;;;0;0;2.097;0;4;4;4;4;4;4;3;I think it is important to be vaccinated.;3;3;3;;;2;7;99;5;4;5;;;;2;2;2;2;4;4;4;4;4;;2;2;;22;2;4;;2;6;1;;9;1;;3;
