StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q1.2,Q1.3_Browser,Q1.3_Version,Q1.3_Operating System,Q1.3_Resolution,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.3_1,Q2.3_2,Q2.3_3,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.3_1,Q3.3_2,Q3.3_3,Q5.3,Q5.4,Q5.5,Q5.6,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q7.2,Q7.3,Q8.3_First Click,Q8.3_Last Click,Q8.3_Page Submit,Q8.3_Click Count,Q8.5_First Click,Q8.5_Last Click,Q8.5_Page Submit,Q8.5_Click Count,Q8.6,Q8.7,Q10.3_First Click,Q10.3_Last Click,Q10.3_Page Submit,Q10.3_Click Count,Q10.5_First Click,Q10.5_Last Click,Q10.5_Page Submit,Q10.5_Click Count,Q10.6,Q10.7,Q138_First Click,Q138_Last Click,Q138_Page Submit,Q138_Click Count,Q141,Q142,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q15.2,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,Q140,Q16.2,Q16.3,Q16.7_1,Q16.7_2,Q16.7_3,Q16.8_1,Q16.8_1_TEXT,Q298,Q17.1,Q17.1_7_TEXT,Q6.3_1,Q6.3_2,Q6.4,Q5.8,Q5.9,Q5.10,Q16.5,Q16.6,Q18.2,Q18.3,Q4.2,Q4.3,Q4.4,Q20.2,Q20.3,Q.20.4,Q20.5,Q18.4,Q18.5,Q19.2_1,Q19.3,Q19.4,Q19.4_12_TEXT,Q19.5,Q19.6,Q19.7,Q19.7_2_TEXT,Q19.8,Q19.9,Q19.9_2_TEXT,Q19.10,Q20.6
2/1/2021 5:40,2/1/2021 5:45,0,100,319,1,2/1/2021 5:45,anonymous,SV,1,Safari,14,Macintosh,1440x900,,,,,,,,,5,6,4,6,5,5,4,6,,,,,5,6,5,6,6,6,0,0,84.11,0,0,0,1.442,0,6,5,,,,,,,,,,,,,,,,,0,0,1.197,0,6,5,6,6,7,7,6,3,p,3,2,3,,,1,7,99,5,6,6,,,,1,2,3,5,3,4,4,4,5,,1,1,,37,1,6,,2,6,1,,18,1,,2,q
2/1/2021 5:38,2/1/2021 5:46,0,100,449,1,2/1/2021 5:46,anonymous,SV,1,Safari,4,Android 10,360x760,4,4,4,6,2,2,5,4,,,,,,,,,4,3,3,2,,,,,4,3,5.486,13.676,15.55,4,4.531,12.961,16.704,5,6,6,,,,,,,,,,,,,,,,,5.449,29.768,32.461,8,4,4,4,4,3,5,4,1,Litar inte på att det är testat ordenligt,2,2,1,,,4,7,99,,,,7,7,4,1,2,1,1,4,2,1,2,3,Misstämmer,,1,,42,2,4,,2,8,1,,12,1,,1,
2/1/2021 5:40,2/1/2021 5:47,0,100,399,1,2/1/2021 5:47,anonymous,SV,1,Chrome,86.0.4240.185,Android 6.0.1,360x640,4,4,4,2,2,4,2,4,,,,,,,,,2,4,2,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,0.877,0.877,2.258,1,6,4,1.016,11.232,12.697,5,4,4,4,4,4,4,4,2,Eventuella biverkningar,4,4,4,,,1,7,99,,,,6,6,4,1,2,2,2,6,2,4,4,2,Ej mänskligt,,1,,58,2,3,,2,4,1,,12,1,,1,Nej.
2/1/2021 5:36,2/1/2021 5:47,0,100,647,1,2/1/2021 5:47,anonymous,SV,1,Chrome,88.0.4324.104,Windows NT 10.0,1280x720,,,,,,,,,6,5,4,5,5,6,4,5,,,,,5,4,3,5,6,5,,,,,,,,,,,1.055,1.055,30.436,1,2.829,2.829,34.988,1,5,5,,,,,,,2.018,2.018,2.838,1,5,5,6,6,4,5,5,3,för att säkra för äldre is amhället,1,1,3,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021 5:46,2/1/2021 5:48,0,100,114,1,2/1/2021 5:48,anonymous,SV,1,Safari iPhone,Unknown,iPhone,375x667,5,6,3,4,5,4,5,3,,,,,,,,,5,5,6,3,,,,,5,4,,,,,,,,,,,0.39,0.909,1.597,2,0.635,0.635,1.815,1,6,4,,,,,,,27.25,27.25,29.05,1,3,3,5,5,4,5,6,2,Vet inte ,2,4,3,1,Vet ej ,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021 5:43,2/1/2021 5:49,0,100,318,1,2/1/2021 5:49,anonymous,SV,1,Edge,88.0.705.56,Windows NT 10.0,1280x720,,,,,,,,,6,4,4,7,4,3,5,4,,,,,5,7,1,4,5,6,0.918,9.581,10.784,5,0.723,2.001,3.592,3,6,5,,,,,,,,,,,,,,,,,3.182,3.182,4.255,1,6,2,7,6,6,6,6,4,för att kunna leva som vanligt,3,3,4,,,2,7,99,7,7,6,,,,2,1,5,6,1,5,1,3,5,,1,2,bland annat i brottsligheten använder man det för att förutspå brott,19,1,4,,2,3,1,,2,1,,1,
2/1/2021 5:40,2/1/2021 5:49,0,100,567,1,2/1/2021 5:49,anonymous,SV,1,Edge,13.10586,Windows NT 10.0,1821x1024,,,,,,,,,6,6,6,6,5,6,6,6,,,,,4,7,2,4,5,5,,,,,,,,,,,,,,,,,,,,,0,0,31.559,0,7,6,47.015,47.015,50.154,1,7,3,5,6,6,6,7,4,självklart tar jag det skydda mej själv o andra,4,4,4,,,4,7,99,6,4,6,,,,2,2,4,6,2,5,5,1,4,,2,1,,46,1,4,,2,1,1,,15,1,,1,
2/1/2021 5:42,2/1/2021 5:49,0,100,392,1,2/1/2021 5:49,anonymous,SV,1,Safari iPhone,Unknown,iPhone,414x736,4,4,4,6,6,5,5,5,,,,,,,,,2,4,4,3,,,,,4,3,,,,,,,,,,,0.969,6.556,8.256,4,1.331,7.915,9.814,4,7,7,,,,,,,1.3,13.239,15.257,5,4,5,4,4,5,4,4,3,Tror så,3,3,3,,,2,7,99,,,,5,7,7,2,2,1,3,2,3,4,2,4,,2,1,,54,2,3,,2,8,1,,12,1,,1,
2/1/2021 5:41,2/1/2021 5:49,0,100,500,1,2/1/2021 5:49,anonymous,SV,1,Safari iPhone,14.0.1,iPhone,375x667,6,6,7,5,5,6,5,3,,,,,,,,,6,7,5,1,,,,,6,6,,,,,,,,,,,,,,,,,,,,,0.308,0.5,1.247,2,7,6,0.24,1.092,1.724,3,7,1,1,7,7,6,6,3,Jag vill ta vaccin då jag vill inte kunna smitta någon äldre med Covid-19.,4,3,4,,,2,7,99,,,,6,6,5,2,2,5,4,5,6,5,4,4,,1,1,,37,1,5,,2,6,1,,5,1,,1,
2/1/2021 5:47,2/1/2021 5:50,0,100,137,1,2/1/2021 5:50,anonymous,SV,1,Chrome,87.0.4280.88,Windows NT 6.1,1366x768,,,,,,,,,6,7,7,7,6,6,6,7,,,,,6,6,6,6,7,7,,,,,,,,,,,2.682,2.682,3.901,1,3.084,3.084,4.474,1,7,7,,,,,,,2.191,3,4.678,2,6,6,6,7,6,7,7,3,vetej,3,2,3,4,vetej,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021 5:41,2/1/2021 5:50,0,100,488,1,2/1/2021 5:50,anonymous,SV,1,Chrome,88.0.4324.96,Windows NT 10.0,1920x1080,,,,,,,,,5,5,6,6,6,6,6,7,,,,,2,6,2,4,2,2,,,,,,,,,,,0,0,21.781,0,0,0,2.714,0,6,3,,,,,,,0,0,8.536,0,6,2,1,6,6,6,7,4,Det är ett vaccin som känns säkert och om det inte ger några större biverkningar så är jag ok med det. ,4,3,3,,,2,7,99,6,2,6,,,,1,1,3,5,4,5,5,3,1,Eftersom det inte tar hänsyn till verkligheten i min mening....,1,1,,48,1,3,,2,8,1,,12,1,,1,
2/1/2021 5:43,2/1/2021 5:51,0,100,505,1,2/1/2021 5:51,anonymous,SV,1,Chrome,88.0.4324.104,Windows NT 10.0,853x480,,,,,,,,,1,1,1,5,1,1,3,4,,,,,7,7,4,5,7,7,,,,,,,,,,,0,0,11.621,0,0,0,7.561,0,7,5,,,,,,,0,0,6.275,0,5,7,7,4,7,5,5,3,jag vet inte  hur det fungerar,4,4,4,,,2,7,99,7,5,1,,,,2,2,4,5,6,1,1,7,5,,,1,,63,1,5,,2,7,1,,11,1,,1,nej
2/1/2021 5:41,2/1/2021 5:51,0,100,651,1,2/1/2021 5:51,anonymous,SV,1,Chrome,88.0.4324.104,Windows NT 10.0,1366x768,,,,,,,,,4,5,2,6,4,4,4,4,,,,,7,6,4,7,5,4,,,,,,,,,,,,,,,,,,,,,1.646,1.646,2.838,1,4,4,1.081,1.081,1.919,1,5,6,3,5,4,4,6,3,Jag litar på forskare och dess intelligens i att skapa vaccin och därmed kan jag lita på det kommande vaccinet. ,3,3,3,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021 5:34,2/1/2021 5:52,0,100,1060,1,2/1/2021 5:52,anonymous,SV,1,Chrome,83.0.4103.106,Android 9,360x740,4,5,5,7,2,4,7,7,,,,,,,,,6,7,4,3,,,,,4,1,,,,,,,,,,,0.76,62.969,75.982,6,0.69,24.556,26.4,7,7,4,,,,,,,13.545,129.799,137.951,10,7,4,3,6,7,7,7,4,Många har redan fått vaccinet och inga större biverkningar har rapporterats. Jag ingår även i en riskgrupp. Jag tycker även att så många som möjligt bör ta vaccin.,3,3,4,,,2,7,99,,,,5,3,3,2,1,3,4,2,4,3,3,2,Algoritmer går inte att lita på. Vem har gjort algoritmen? Hur utvärderas det? Vad säger att den är mer rättvis eller bättre? Och vem bestämmer vad som är bättre eller rättvisare?,1,1,,27,1,4,,2,4,1,,7,1,,1,
2/1/2021 5:50,2/1/2021 5:53,0,100,145,1,2/1/2021 5:53,anonymous,SV,1,Chrome,88.0.4324.93,Android 10,412x846,7,6,7,7,6,7,6,7,,,,,,,,,7,6,7,6,,,,,7,6,,,,,,,,,,,,,,,,,,,,,0.878,0.878,2.897,1,7,6,0.854,0.854,1.839,1,6,7,7,7,7,7,6,4,Sas,4,3,4,2,Sad,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021 5:39,2/1/2021 5:53,0,100,830,1,2/1/2021 5:53,anonymous,SV,1,Safari,14.0.2,Macintosh,1440x900,,,,,,,,,2,2,2,6,4,3,5,4,,,,,5,4,5,2,5,6,,,,,,,,,,,0,0,24.794,0,0,0,38.98,0,7,3,,,,,,,0,0,38.392,0,6,2,2,7,6,7,5,3,Jag är rädd för vad konsekvenserna eller biverkningarna av vaccinet kan bli. Även fast det just nu endast har rapporterats om mildare biverkningar så kan biverkningarna variera från person till person och de kan bli grövre i framtiden. Därför är det sannolikt att jag skulle ta vaccinet men en osäkerhet finns.,2,2,3,4,civila personer som tagit vaccinet.,4,7,99,7,3,4,,,,2,2,1,1,4,5,2,5,4,,2,1,,18,2,4,,2,1,1,,12,1,,1,
2/1/2021 5:44,2/1/2021 5:53,0,100,573,1,2/1/2021 5:53,anonymous,SV,1,Chrome,87.0.4280.141,Macintosh,1440x900,,,,,,,,,4,4,5,6,4,4,5,5,,,,,4,6,2,3,5,4,0,0,47.927,0,0,0,33.948,0,6,6,,,,,,,,,,,,,,,,,0,0,25.187,0,6,4,3,6,6,7,5,4,"Jag litar på forskningen som har gjorts, jag tror inte på propagandan och rädslan som media och privatpersoner sprider om vaccinet, och jag tycker att eventuella bieffekter är betydligt bättre än att leva i en pandemi i flera år till",3,3,4,,,2,7,99,6,6,5,,,,1,2,4,5,1,5,5,2,5,,1,1,,21,2,4,,2,7,1,,11,1,,3,
2/1/2021 5:41,2/1/2021 5:54,0,100,790,1,2/1/2021 5:54,anonymous,SV,1,Firefox,85,Windows NT 10.0,1366x768,,,,,,,,,6,6,6,7,6,6,7,7,,,,,6,7,6,5,6,6,,,,,,,,,,,,,,,,,,,,,4.47,4.47,39.132,1,7,7,7.588,38.779,41.763,4,7,2,2,7,7,7,7,4,Jag tycker att det är väldigt viktigt att hela befolkningen vaccinerar sig för att få stopp på Covid19-pandemin. Det inger också en väldig trygghet att veta att man har ett nästan fullgott skydd.,4,3,4,,,2,7,99,6,5,7,,,,1,1,6,6,6,5,5,5,6,,1,1,,63,2,5,,2,1,1,,21,1,,1,Det var en bra och intressant enkät :)
2/1/2021 5:49,2/1/2021 5:54,0,100,283,1,2/1/2021 5:54,anonymous,SV,1,Safari iPhone,14.0.2,iPhone,375x812,4,4,4,4,4,4,4,4,,,,,,,,,2,7,1,3,,,,,4,4,0.42,0.901,1.363,2,0.366,0.966,1.448,2,4,4,,,,,,,,,,,,,,,,,0.201,0.201,1.56,1,4,4,4,4,4,4,4,3,Immun,3,3,3,,,4,7,99,,,,7,5,3,1,2,1,3,3,4,3,4,4,,,1,,21,1,4,,2,5,1,,21,1,,3,
2/1/2021 5:40,2/1/2021 5:54,0,100,825,1,2/1/2021 5:54,anonymous,SV,1,Edge,88.0.705.56,Windows NT 10.0,1280x1024,,,,,,,,,7,7,6,7,3,6,6,6,,,,,5,7,4,3,5,4,,,,,,,,,,,,,,,,,,,,,0,0,21.471,0,7,2,0,0,61.882,0,7,1,1,7,7,7,6,4,Jag vill vaccinera mig så fort som möjligt,4,3,3,,,1,7,99,6,6,3,,,,2,2,2,2,2,6,1,1,5,,,1,,55,1,4,,2,6,1,,12,1,,1,nej
2/1/2021 5:49,2/1/2021 5:54,0,100,285,1,2/1/2021 5:54,anonymous,SV,1,Safari iPhone,Unknown,iPhone,375x667,3,2,2,2,1,2,2,2,,,,,,,,,4,5,1,3,,,,,4,3,,,,,,,,,,,0.728,0.728,1.667,1,0.465,0.465,1.399,1,5,5,,,,,,,0.607,3.21,3.24,2,6,3,3,5,6,6,6,3,för att bättre det än att riskera attbli sjuk av corona. Människan har varit duktig på attra fram olika vaccin mot sjukdomar,3,3,3,,,2,7,99,,,,7,6,1,1,2,2,2,5,5,4,5,5,,,1,,39,2,5,,2,1,1,,12,1,,1,
2/1/2021 5:53,2/1/2021 5:54,0,100,97,1,2/1/2021 5:54,anonymous,SV,1,Safari,14.0.2,Macintosh,768x1024,,,,,,,,,7,6,5,4,3,7,6,5,,,,,7,5,5,6,6,4,0.816,0.816,1.664,1,0.676,0.676,1.626,1,7,7,,,,,,,,,,,,,,,,,0.63,1.083,2.078,2,4,6,5,5,5,7,6,3,Mamma,4,4,3,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021 5:37,2/1/2021 5:54,0,100,1055,1,2/1/2021 5:54,anonymous,SV,1,Chrome,88.0.4324.93,Android 7.0,962x601,5,5,5,6,2,5,6,6,,,,,,,,,6,7,6,3,,,,,6,5,2.024,35.942,37.232,3,2.059,13.53,34.981,3,7,3,,,,,,,,,,,,,,,,,2.113,43.6,61.794,3,7,2,3,7,7,7,7,4,För att vaccinationens fördelar överväger mot eventuella biverkningar eller svår sjukdom eller till och med dödsfall,4,2,4,,,1,7,,,,,7,1,6,2,1,5,4,7,2,3,6,6,,1,1,,72,1,6,,2,8,1,,21,1,,1,Intressant enkät
2/1/2021 5:52,2/1/2021 5:54,0,100,129,1,2/1/2021 5:54,anonymous,SV,1,Safari iPhone,14.0.2,iPhone,414x896,4,2,5,4,4,5,3,3,,,,,,,,,4,4,4,4,,,,,4,4,,,,,,,,,,,,,,,,,,,,,0.958,0.958,1.7,1,5,5,1.035,1.035,2.468,1,6,5,5,5,4,5,5,3,Vet ej,1,3,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021 5:48,2/1/2021 5:56,0,100,450,1,2/1/2021 5:56,anonymous,SV,1,Chrome,87.0.4280.142,CrOS x86_64 13505.100.0,1366x768,,,,,,,,,7,6,6,7,6,5,6,6,,,,,6,6,6,5,5,6,,,,,,,,,,,,,,,,,,,,,0.8,0.8,2.158,1,7,7,1.773,6.479,7.422,3,6,6,6,6,6,5,6,3,Jag vill ha vaccin,3,4,4,,,1,7,99,7,6,7,,,,2,2,5,5,5,5,5,6,5,,2,1,,20,1,4,,2,5,1,,12,1,,1,Nej
2/1/2021 5:41,2/1/2021 5:56,0,100,901,1,2/1/2021 5:56,anonymous,SV,1,Safari iPhone,12.1.2,iPhone,375x667,4,5,4,6,5,4,5,5,,,,,,,,,3,7,2,2,,,,,4,4,,,,,,,,,,,,,,,,,,,,,2.898,2.898,6.102,1,6,6,12.174,20.074,28.945,2,5,2,2,6,5,5,6,4,För att få slut på pandemin,4,3,4,,,2,7,99,,,,5,1,6,2,2,2,1,4,5,6,2,4,,3,1,,67,1,5,,2,7,1,,17,1,,1,
2/1/2021 5:49,2/1/2021 5:56,0,100,426,1,2/1/2021 5:56,anonymous,SV,1,Chrome,87.0.4280.88,Windows NT 10.0,1366x768,,,,,,,,,3,3,4,3,3,3,4,3,,,,,3,5,5,3,4,5,,,,,,,,,,,,,,,,,,,,,0,0,14.928,0,5,5,0,0,16.561,0,5,4,4,6,5,3,6,3,För att det jag vill att det ska bli bättre med samhället.,2,3,2,4,,2,7,99,3,4,5,,,,1,2,5,4,4,5,4,6,5,,2,1,,35,1,6,,1,1,1,,4,2,arabiska,3,Nej
2/1/2021 5:44,2/1/2021 5:56,0,100,715,1,2/1/2021 5:56,anonymous,SV,1,Chrome,83.0.4103.106,Android 9,360x640,7,7,7,7,7,7,7,7,,,,,,,,,7,7,1,5,,,,,5,5,,,,,,,,,,,,,,,,,,,,,24.201,26.74,31.149,3,7,5,8.089,41.582,45.386,7,7,1,1,7,7,7,7,4,Det verkar vara tillförlitliga vaccin. ,4,4,4,,,1,7,99,,,,7,1,7,2,2,1,1,3,7,7,5,4,,,1,,56,2,3,,2,5,1,,12,2,Svenska ,1,Nej
2/1/2021 5:42,2/1/2021 5:56,0,100,832,1,2/1/2021 5:56,anonymous,SV,1,Edge,88.0.705.56,Windows NT 10.0,1536x864,,,,,,,,,4,4,4,5,5,5,5,5,,,,,3,7,2,1,4,4,0,0,74.665,0,0,0,34.196,0,7,4,,,,,,,,,,,,,,,,,0,0,52.095,0,4,5,5,4,4,4,4,3,det kommer inte att finnas någon chans att själv få välja tillverkare,3,3,3,,,1,7,99,6,6,6,,,,2,2,4,1,2,4,4,1,4,,1,1,,67,2,5,,2,3,1,,11,1,,1,nej
2/1/2021 5:50,2/1/2021 5:57,0,100,428,1,2/1/2021 5:57,anonymous,SV,1,Safari,4,Android 10,360x780,2,3,3,5,1,3,4,2,,,,,,,,,5,3,4,7,,,,,5,4,,,,,,,,,,,,,,,,,,,,,4.841,30.242,31.118,5,5,4,3.741,4.942,5.888,3,4,5,6,5,4,6,5,3,Det är det bästa o säkraste på marknaden.,2,2,2,2,,1,7,99,,,,4,4,4,1,2,4,4,5,1,3,4,5,,,1,,30,1,5,,1,4,1,,9,1,,1,
2/1/2021 5:40,2/1/2021 5:57,0,100,1024,1,2/1/2021 5:57,anonymous,SV,1,Chrome,88.0.4324.104,Windows NT 10.0,1280x720,,,,,,,,,6,5,6,6,4,7,7,7,,,,,6,6,5,6,7,5,4.052,4.052,31.668,1,50.297,58.425,107.09,2,7,2,,,,,,,,,,,,,,,,,3.076,3.076,3.873,1,7,2,1,6,7,7,7,4,"Även om jag inte känner mig 100 % bekväm med att ta ett vaccin som tagits fram så snabbt och där man ännu inte har full insikt kring eventuella biverkningar, så känner jag mig tillräckligt säker för att vilja ta vaccinet. Jag vill absolut inte smitta mina äldre föräldrar, eller någon annan i en riskgrupp. Och jag vill inte bli smittad av Covid-19 själv heller även om jag inte är i en riskgrupp, man vet inte tillräckligt om eventuella effekter av viruset på längre sikt och jag vill inte ta några onödiga risker på den fronten. Jag väljer hellre den eventuella risken med att ta vaccinet. ",4,2,3,,,1,7,99,6,5,4,,,,1,2,4,2,3,4,2,4,6,,1,2,Arbetsförmedlingar för att matcha arbetssökande med anställning. ,40,2,6,,2,7,1,,21,2,Kroatiska,3,
2/1/2021 5:48,2/1/2021 5:58,0,100,585,1,2/1/2021 5:58,anonymous,SV,1,Chrome,88.0.4324.93,Android 10,360x771,4,4,4,7,1,4,6,5,,,,,,,,,4,7,7,1,,,,,4,4,,,,,,,,,,,3.962,19.694,21.125,7,1.857,18.289,19.547,8,7,3,,,,,,,4.191,30.362,34.387,21,7,4,1,7,7,1,7,4,För att den ger bra skydd,4,4,4,4,,2,7,99,,,,7,4,1,2,1,5,7,4,4,1,1,4,,,1,,56,2,5,,2,5,1,,21,1,,1,Nej
